iter	Passed	Remaining
406	3830	5581
407	3838	5570
408	3846	5558
409	3853	5545
410	3861	5533
411	3870	5524
412	3878	5512
413	3886	5501
414	3894	5489
415	3902	5478
416	3910	5467
417	3919	5456
418	3927	5446
419	3935	5434
420	3945	5425
421	3954	5415
422	3963	5406
423	3972	5396
424	3981	5386
425	3989	5376
426	3998	5365
427	4005	5353
428	4013	5342
429	4020	5329
430	4028	5318
431	4036	5306
432	4043	5295
433	4050	5282
434	4058	5271
435	4064	5258
436	4072	5246
437	4079	5234
438	4086	5222
439	4094	5211
440	4102	5200
441	4110	5189
442	4117	5177
443	4124	5165
444	4131	5152
445	4139	5142
446	4146	5130
447	4154	5119
448	4161	5107
449	4170	5097
450	4180	5088
451	4189	5079
452	4198	5070
453	4207	5059
454	4213	5047
455	4221	5036
456	4229	5025
457	4237	5014
458	4245	5003
459	4252	4992
460	4259	4979
461	4266	4968
462	4273	4956
463	4280	4944
464	4287	4932
465	4293	4920
466	4301	4909
467	4307	4896
468	4315	4885
469	4321	4873
470	4328	4861
471	4335	4850
472	4342	4838
473	4350	4827
474	4357	4816
475	4365	4805
476	4372	4794
477	4381	4784
478	4388	4772
479	4395	4761
480	4403	4751
481	4410	4739
482	4416	4727
483	4423	4715
484	4430	4704
485	4437	4692
486	4444	4682
487	4451	4670
488	4459	4659
489	4465	4648
490	4472	4636
491	4479	4625
492	4486	4614
493	4494	4603
494	4501	4592
495	4509	4582
496	4516	4570
497	4526	4562
498	4534	4552
499	4542	4542
500	4549	4531
501	4557	4521
502	4564	4509
503	4571	4499
504	4578	4487
505	4585	4476
506	4593	4466
507	4600	4455
508	4609	4446
509	4616	4435
510	4624	4424
511	4631	4414
512	4639	4403
513	4646	4393
514	4654	4383
515	4660	4371
516	4667	4360
517	4676	4351
518	4683	4340
519	4690	4329
520	4696	4318
521	4704	4307
522	4710	4296
523	4718	4286
524	4724	4274
525	4731	4264
526	4738	4253
527	4745	4242
528	4752	4231
529	4759	4220
530	4766	4210
531	4772	4198
532	4779	4188
533	4787	4177
534	4793	4166
535	4800	4155
536	4807	4145
537	4815	4135
538	4823	4125
539	4832	4116
540	4839	4106
541	4848	4097
542	4855	4086
543	4862	4076
544	4869	4065
545	4875	4054
546	4882	4043
547	4889	4032
548	4897	4023
549	4904	4012
550	4912	4003
551	4920	3993
552	4929	3984
553	4935	3973
554	4944	3964
555	4951	3953
556	4960	3944
557	4968	3935
558	4978	3927
559	4987	3918
560	4996	3909
561	5004	3900
562	5012	3890
563	5020	3880
564	5028	3871
565	5039	3864
566	5047	3854
567	5057	3846
568	5066	3838
569	5077	3830
570	5086	3821
571	5095	3812
572	5104	3803
573	5113	3794
574	5124	3787
575	5134	3779
576	5144	3771
577	5154	3763
578	5162	3753
579	5172	3745
580	5182	3737
581	5191	3728
582	5200	3719
583	5210	3711
584	5221	3703
585	5232	3696
586	5240	3687
587	5249	3678
588	5259	3669
589	5269	3661
590	5278	3653
591	5289	3645
592	5299	3637
593	5309	3628
594	5321	3621
595	5332	3614
596	5342	3606
597	5352	3598
598	5363	3590
599	5373	3582
600	5383	3574
601	5395	3566
602	5404	3558
603	5414	3550
604	5424	3541
605	5434	3533
606	5445	3525
607	5456	3518
608	5465	3509
609	5477	3501
610	5486	3492
611	5495	3484
612	5506	3476
613	5515	3467
614	5526	3459
615	5537	3451
616	5546	3443
617	5557	3435
618	5566	3425
619	5576	3417
620	5585	3408
621	5593	3399
622	5603	3390
623	5611	3381
624	5622	3373
625	5631	3364
626	5641	3355
627	5651	3347
628	5660	3338
629	5669	3329
630	5677	3320
631	5686	3311
632	5693	3301
633	5703	3292
634	5711	3282
635	5721	3274
636	5730	3265
637	5738	3256
638	5748	3247
639	5756	3238
640	5765	3229
641	5773	3219
642	5781	3210
643	5790	3200
644	5799	3192
645	5807	3182
646	5815	3173
647	5823	3163
648	5832	3154
649	5840	3145
650	5849	3135
651	5857	3126
652	5866	3117
653	5875	3108
654	5882	3098
655	5895	3091
656	5909	3085
657	5921	3077
658	5932	3070
659	5943	3062
660	5954	3053
661	5967	3046
662	5982	3040
663	5993	3032
664	6007	3026
665	6020	3019
666	6030	3010
667	6046	3005
668	6058	2997
669	6069	2989
670	6079	2980
671	6089	2972
672	6099	2963
673	6110	2955
674	6120	2947
675	6131	2938
676	6141	2930
677	6151	2921
678	6160	2912
679	6172	2904
680	6183	2896
681	6192	2887
682	6202	2878
683	6210	2869
684	6219	2859
685	6227	2850
686	6235	2841
687	6244	2831
688	6252	2822
689	6260	2812
690	6269	2803
691	6277	2793
692	6284	2784
693	6292	2774
694	6301	2765
695	6309	2755
696	6318	2746
697	6327	2737
698	6336	2728
699	6345	2719
700	6353	2709
701	6363	2701
702	6370	2691
703	6379	2682
704	6387	2672
705	6405	2667
706	6413	2658
707	6422	2648
708	6431	2639
709	6440	2630
710	6448	2621
711	6457	2611
712	6465	2602
713	6474	2593
714	6482	2583
715	6490	2574
716	6499	2565
717	6509	2556
718	6517	2547
719	6525	2537
720	6533	2528
721	6543	2519
722	6551	2510
723	6561	2501
724	6571	2492
725	6579	2483
726	6589	2474
727	6599	2465
728	6608	2456
729	6617	2447
730	6625	2438
731	6637	2430
732	6649	2422
733	6658	2413
734	6669	2404
735	6679	2395
736	6689	2387
737	6699	2378
738	6708	2369
739	6718	2360
740	6728	2351
741	6737	2342
742	6747	2334
743	6758	2325
744	6769	2316
745	6782	2309
746	6792	2300
747	6802	2291
748	6815	2283
749	6825	2275
750	6835	2266
751	6845	2257
752	6855	2248
753	6864	2239
754	6874	2230
755	6883	2221
756	6894	2213
757	6904	2204
758	6914	2195
759	6924	2186
760	6933	2177
761	6944	2168
762	6952	2159
763	6963	2150
764	6973	2142
765	6982	2133
766	6992	2124
767	7000	2114
768	7010	2106
769	7020	2097
770	7030	2088
771	7040	2079
772	7050	2070
773	7058	2061
774	7068	2052
775	7077	2042
776	7086	2033
777	7095	2024
778	7106	2016
779	7116	2007
780	7125	1998
781	7136	1989
782	7144	1980
783	7154	1971
784	7161	1961
785	7169	1952
786	7176	1942
787	7185	1933
788	7192	1923
789	7201	1914
790	7208	1904
791	7217	1895
792	7226	1886
793	7235	1877
794	7244	1867
795	7253	1858
796	7263	1850
797	7272	1840
798	7284	1832
799	7293	1823
800	7301	1814
801	7310	1804
802	7319	1795
803	7328	1786
804	7336	1777
805	7345	1768
806	7354	1758
807	7363	1749
808	7371	1740
809	7379	1731
810	7388	1721
811	7396	1712
812	7405	1703
813	7413	1694
814	7422	1684
815	7432	1675
816	7441	1666
817	7448	1657
818	7457	1648
819	7465	1638
820	7474	1629
821	7481	1620
822	7491	1611
823	7499	1601
824	7507	1592
825	7515	1583
826	7524	1574
827	7532	1564
828	7541	1555
829	7549	1546
830	7557	1536
831	7567	1528
832	7575	1518
833	7584	1509
834	7592	1500
835	7599	1490
836	7606	1481
837	7613	1471
838	7621	1462
839	7629	1453
840	7637	1443
841	7644	1434
842	7652	1425
843	7659	1415
844	7667	1406
845	7674	1396
846	7682	1387
847	7689	1378
848	7698	1369
849	7705	1359
850	7715	1350
851	7723	1341
852	7731	1332
853	7739	1323
854	7748	1314
855	7756	1304
856	7764	1295
857	7771	1286
858	7779	1277
859	7787	1267
860	7794	1258
861	7802	1249
862	7810	1239
863	7818	1230
864	7827	1221
865	7835	1212
866	7844	1203
867	7852	1194
868	7861	1185
869	7869	1175
870	7879	1166
871	7888	1157
872	7897	1148
873	7907	1139
874	7914	1130
875	7922	1121
876	7929	1112
877	7937	1102
878	7944	1093
879	7952	1084
880	7959	1075
881	7966	1065
882	7975	1056
883	7982	1047
884	7990	1038
885	7997	1028
886	8004	1019
887	8012	1010
888	8020	1001
889	8027	992
890	8035	982
891	8043	973
892	8052	964
893	8060	955
894	8069	946
895	8076	937
896	8085	928
897	8093	919
898	8102	910
899	8110	901
900	8119	892
901	8126	882
902	8135	873
903	8142	864
904	8150	855
905	8158	846
906	8166	837
907	8174	828
908	8182	819
909	8190	810
910	8199	801
911	8207	791
912	8216	782
913	8224	773
914	8233	764
915	8241	755
916	8248	746
917	8256	737
918	8264	728
919	8272	719
920	8281	710
921	8289	701
922	8297	692
923	8318	684
924	8342	676
925	8365	668
926	8384	660
927	8393	651
928	8407	642
929	8419	633
930	8427	624
931	8436	615
932	8445	606
933	8453	597
934	8461	588
935	8469	579
936	8477	570
937	8485	560
938	8493	551
939	8502	542
940	8511	533
941	8520	524
942	8528	515
943	8538	506
944	8546	497
945	8554	488
946	8561	479
947	8570	470
948	8577	460
949	8586	451
950	8594	442
951	8603	433
952	8610	424
953	8619	415
954	8626	406
955	8634	397
956	8641	388
957	8660	379
958	8669	370
959	8676	361
960	8685	352
961	8694	343
962	8704	334
963	8711	325
964	8719	316
965	8726	307
966	8733	298
967	8740	288
968	8747	279
969	8754	270
970	8761	261
971	8768	252
972	8776	243
973	8784	234
974	8792	225
975	8799	216
976	8805	207
977	8812	198
978	8819	189
979	8826	180
980	8834	171
981	8841	162
982	8848	153
983	8855	143
984	8863	134
985	8869	125
986	8877	116
987	8883	107
988	8890	98
989	8897	89
990	8904	80
991	8912	71
992	8919	62
993	8926	53
994	8935	44
995	8943	35
996	8949	26
997	8956	17
998	8963	8
999	8970	0
